LOCATION,LAT,LONG,POPULATION
ARGENTINA/SANTA FE/CASTELLANOS/EUSEBIA Y CAROLINA,-30.946145266458,-61.85717100428229,
ARGENTINA/SANTA FE/CASTELLANOS/EUSTOLIA,-31.5752406804943,-61.7830449291597,
ARGENTINA/SANTA FE/CASTELLANOS/FRONTERA,-31.4358382194786,-62.065216699493504,
ARGENTINA/SANTA FE/CASTELLANOS/GALISTEO,-31.0499697335994,-61.37189721427521,
ARGENTINA/SANTA FE/CASTELLANOS/GARIBALDI,-31.6508313150769,-61.804562376545896,
ARGENTINA/SANTA FE/CASTELLANOS/HUGENTOBLER,-30.9179967418684,-61.7543056849241,
ARGENTINA/SANTA FE/CASTELLANOS/HUMBERTO PRIMO,-30.8682089985819,-61.347995241358205,
ARGENTINA/SANTA FE/CASTELLANOS/JOSEFINA,-31.4062784062784,-61.991461318801,
ARGENTINA/SANTA FE/CASTELLANOS/LEHMANN,-31.1253128622675,-61.4522700936703,
ARGENTINA/SANTA FE/CASTELLANOS/MARIA JUANA,-31.6755496999509,-61.7516140564833,
ARGENTINA/SANTA FE/CASTELLANOS/PLAZA CLUCELLAS,-31.4522916564725,-61.7070689169147,
ARGENTINA/SANTA FE/CASTELLANOS/PRESIDENTE ROCA,-31.2120857939393,-61.61349532862129,
ARGENTINA/SANTA FE/CASTELLANOS/PUEBLO MARINI,-31.038191533410203,-61.8890681755536,
ARGENTINA/SANTA FE/CASTELLANOS/RAFAELA,-31.252602597026502,-61.491700145773706,
ARGENTINA/SANTA FE/CASTELLANOS/RAMONA,-31.0918003471287,-61.9024687358534,
ARGENTINA/SANTA FE/CASTELLANOS/SAGUIER,-31.3243697628305,-61.6680334903253,
ARGENTINA/SANTA FE/CASTELLANOS/SAN ANTONIO,-31.2115185416606,-61.7249756678152,
ARGENTINA/SANTA FE/CASTELLANOS/SANTA CLARA DE SAGUIER,-31.335583570575103,-61.817893725398704,
ARGENTINA/SANTA FE/CASTELLANOS/SAN VICENTE,-31.6990899706862,-61.5674358336436,
